run_name,variant,n_runs,mean_reward_mean,mean_reward_std,mean_score_mean,mean_score_std,elapsed_mean_sec
a2c_variants,a2c_highhorizon_lowvar,3,113.92473318292605,2.597772356911353,116.10666666666667,2.592476293687825,573.9632273515066
a2c_variants,a2c_baseline,3,118.31425641237331,2.6170545428247993,120.53333333333335,2.623915649050733,622.8500481446584
a2c_variants,a2c_fastexploit,3,114.94620001242923,0.8295196576159168,117.05333333333333,0.8504900548115355,583.2258009910583
a2c_variants,a2c_longrollout,3,115.66197000814213,3.708346748932117,117.80666666666666,3.6617664225525526,577.8501198291779
a2c_variants_no_repair,a2c_baseline,1,95.10521974779782,,97.32,,1177.03293633461
dqn_variants,dqn_nstep5_epsfloor010,3,144.10818004808584,1.516382484828149,146.34,1.5973728431396426,1750.387534538905
dqn_variants,dqn_target_slow_grad_more,3,148.8885899697772,4.731064228288575,151.12,4.669518176428909,2863.601544459661
dqn_variants,dqn_baseline,3,149.90957679066148,0.3210814071188626,152.06,0.3026549190084357,1849.4595018227894
dqn_variants,dqn_batch_big,3,150.3350167642526,2.7497366452863847,152.52666666666667,2.66415715252185,1933.752827723821
mppo_variants,mppo_conservative_clip_kl,3,132.5769331590451,2.5884071828117317,134.72,2.65774340371677,1650.6226717631023
mppo_variants,mppo_baseline,3,138.6183299469742,5.72162845605269,140.72,5.804963393510773,2168.377002954483
mppo_variants,mppo_highhorizon_lowvar,3,131.60493987481303,6.0496392272823805,133.74666666666667,6.04920931472315,1521.6949281692505
mppo_variants,mppo_big_net,3,124.80671656920343,5.520003067999534,127.0,5.576055953808204,4579.50143122673
ppo_variants,ppo_big_net,3,120.68343649337417,3.382309339335875,122.80666666666666,3.2926787473626002,3574.278546889623
ppo_variants,ppo_baseline,3,123.58785998619085,1.2035551909766193,125.76666666666665,1.2744148984272474,1846.8318609396617
ppo_variants,ppo_highhorizon_lowvar,3,120.94026653720726,2.2278030486345277,123.13333333333333,2.2738806770218503,1401.0874738693237
ppo_variants,ppo_conservative_clip_kl,3,121.95739002117345,4.579587962307941,124.15333333333335,4.479568431593981,1956.5514840284984
qrdqn_variants,qrdqn_nq25_batch128,3,153.45276668621227,3.813736384000766,155.60666666666668,3.7102201192561726,3592.419873317083
qrdqn_variants,qrdqn_baseline,3,147.69632345980264,11.100770106424473,149.79999999999998,11.131630608316101,3737.482775847117
qrdqn_variants,qrdqn_target_slow_grad_more,3,151.49456320696703,4.5079433869797905,153.61333333333334,4.4768888006441765,7497.06276901563
qrdqn_variants,qrdqn_nq101_batch64,3,145.11777009236278,12.825431223359804,147.36,12.779687007121893,9725.490969498953
